X,Y,FID,TERMINAALI,NIMI,SOLX,SOLY,SOLOMX,SOLOMY,LYHYTTUNNUS,VERKKO,PYSAKIT
24.951267153856019,60.178999000001227,11,1000012,Hakaniemi,6674536,2552971,60.179002,24.951280, ,1,"1111112,1111114,1111116,1111118,1111119,1111142,1111150,1111151,1111266,1111117"
25.031398251096476,60.194987856291675,12,1000013,Herttoniemi,6676384,2557390,60.194992,25.031411, ,1,"1431104,1431106,1431107,1431108,1431110,1431111,1431183,1431185,1431188,1431189,1431113,1431139"
25.109264230235674,60.238244206834644,13,1000014,Mellunmäki,6681273,2561628,60.238248,25.109276, ,1,"1472101,1472102,1473109,1473118,1473221,1473223,1473180,1473113,1473182"
24.933358792427001,60.169584753328628,14,1000015,Kamppi (kaukoliikenneterminaali),6673473,2551992,60.169586,24.933375, ,1,"1040290,1040291"
24.913761763898869,60.16319570868427,15,1000101,Ruoholahden metroasema,6672746,2550914,60.163202,24.915567,RL,2,"1201601,1201602"
24.933246146870793,60.169423977979733,16,1000102,Kampin metroasema,6673455,2551986,60.169427,24.933259,KP,2,"1040601,1040602"
24.941251081652204,60.170911268683042,17,1000103,Rautatientorin metroasema,6673627,2552428,60.170915,24.941264,RT,2,"1020601,1020602"
24.948247350787469,60.171130699809495,18,1000104,Helsingin yliopiston metroasema,6673657,2552816,60.171135,24.948261,KN,2,"1020603,1020604"
24.950168422925476,60.180263520090783,19,1000105,Hakaniemen metroasema,6674676,2552908,60.180270,24.950180,HT,2,"1111601,1111602"
24.960679989598411,60.187862297434918,20,1000106,Sörnäisten metroasema,6675531,2553479,60.187866,24.960693,SN,2,"1121601,1121602"
24.978062289347395,60.18747495408649,21,1000107,Kalasataman metroasema,6675502,2554444,60.187477,24.976940,KA,2,"1100601,1100602"
25.007231624965193,60.188836439179703,22,1000108,Kulosaaren metroasema,6675678,2556060,60.188844,25.008186,KS,2,"1420601,1420602"
25.030833869155426,60.194812721023162,23,1000109,Herttoniemen metroasema,6676364,2557359,60.194813,25.030744,HN,2,"1431601,1431602"
25.043834998324151,60.205679876222341,24,1000110,Siilitien metroasema,6677586,2558061,60.205684,25.044568,ST,2,"1431603,1431604"
25.077340789701321,60.209998862196478,25,1000111,Itäkeskuksen metroasema,6678097,2559911,60.210007,25.077482,IK,2,"1453601,1453602"
25.07662394338865,60.225003827193412,26,1000112,Myllypuron metroasema,6679768,2559844,60.225006,25.075753,MP,2,"1454601,1454602"
25.083554008050474,60.235961161935776,27,1000113,Kontulan metroasema,6680995,2560208,60.235966,25.083686,KL,2,"1473601,1473602"
25.1102432175269,60.23890026049358,28,1000114,Mellunmäen metroasema,6681347,2561681,60.238906,25.110201,MM,2,"1473603,1473604"
25.093911151739562,60.214701450401051,29,1000115,Puotilan metroasema,6678636,2560821,60.214706,25.093076,PT,2,"1452601,1452602"
25.120459065311913,60.205512697536172,30,1000116,Rastilan metroasema,6677637,2562310,60.205518,25.120666,RS,2,"1541601,1541602"
25.142485116601271,60.207227822443294,31,1000117,Vuosaaren metroasema,6677849,2563528,60.207231,25.143072,VS,2,"1541603,1541604"
24.880177688650353,60.159392723360277,32,1000118,Lauttasaaren metroasema,6672297,2549055,60.159396,24.878481,LA,2,"1310601,1310602"
24.854102960268104,60.163638352193793,33,1000119,Koivusaaren metroasema,6672751,2547601,60.163642,24.854117, ,2,"1310603,1310604"
24.941187197302749,60.171827276451261,34,1000201,Helsingin rautatieasema,6673729,2552423,60.171831,24.941200, ,4,"1020501,1020502,1020524,1020525,1020526,1020527,1020528,1020529,1020531,1020532,1020533,1020534,1020535,1020536,1020537,1020538,1020539,1020551,1020552,1020503,1020521,1020522,1020523,1020553"
24.933100234455665,60.199225307405761,35,1000202,Pasilan asema,6676775,2551931,60.199228,24.933114, ,4,"1174501,1174502,1174503,1174504,1174511,1174515,1174517,1174518,1174551,1174552,1174553,1174554,1174562,1174563,1174564,1174565,1174566,1174569"
24.921452418325391,60.207591523206609,36,1000203,Ilmalan asema,6677698,2551272,60.207595,24.921465, ,4,"1172503,1172553"
24.893432257732666,60.218455492434245,37,1000204,Huopalahden asema,6678887,2549702,60.218459,24.893446, ,4,"1291501,1291551"
24.875396799730336,60.222058309435972,38,1000205,Valimon asema,6679275,2548697,60.222062,24.876416, ,4,"1465501,1465551"
24.860469530098165,60.223224040676385,39,1000206,Pitäjänmäen asema,6679394,2547868,60.223229,24.860585, ,4,"1465502,1465552"
