Selite_en,Longitude,Latitude,N_GK25,E_GK25,Name_fi,Name_en
daycare,24.749292,60.23674,6680475,25486111,Hirsikallion päiväkoti,
daycare,24.955616,60.18662,6674866,25497537,Päiväkoti Franzenia,Day care Franzenia
daycare,25.110352,60.278954,6685157,25506106,Kannuskujan päiväkoti,
daycare,24.931274,60.173325,6673386,25496185,"Päiväkoti Ankkalampi,Töölö - Duckies","Day care Ankkalampi,Töölö - Duckies"
daycare,24.665312,60.206497,6677127,25481441,Ryhmäperhepäiväkoti Suviniitty,
daycare,24.695595,60.162006,6672161,25483097,Pilke liikuntapäiväkoti Martinmäki,
daycare,25.086353,60.208008,6677251,25504788,Päiväkoti Mustikka,Day care Mustikka
daycare,24.939154,60.182796,6674441,25496624,Päiväkoti Linnunlaulu,Day care Linnunlaulu
daycare,24.797731,60.266476,6683779,25488804,Hämeenkylän päiväkoti,
daycare,24.960451,60.216835,6678232,25497808,Päiväkoti Koskela,Day care Koskela
daycare,24.962635,60.24243,6681084,25497930,Päiväkoti Tammi,Day care Tammi
daycare,24.908384,60.15933,6671828,25494912,Päiväkoti Saukko,Day care Saukko
daycare,25.003426,60.270977,6684263,25500190,Päiväkoti Kaskisavu,Day care Kaskisavu
daycare,25.036423,60.19163,6675424,25502021,Päiväkoti Satama,Day care Satama
daycare,24.646152,60.151707,6671027,25480346,Onnenmyyrä päiväkoti,
daycare,24.65925,60.198853,6676277,25481100,Kiltakallion lastentalo,
daycare,24.998549,60.255184,6682504,25499920,Päiväkoti Takatasku,Day care Takatasku
daycare,25.01554,60.238735,6680671,25500861,Päiväkoti Marmori,Day care Marmori
daycare,25.060188,60.29685,6687148,25503328,Jokiniemen päiväkoti,
daycare,24.740217,60.226093,6679291,25485603,Päiväkoti Viidakkorumpu,
daycare,24.970608,60.16699,6672678,25498368,Päiväkoti Luotsi,Day care Luotsi
daycare,24.958181,60.28494,6685820,25497687,Y.E.S päiväkoti,
daycare,24.808102,60.230915,6679815,25489367,Lintupiha ryhmäperhepäiväkoti,
daycare,24.88804,60.153126,6671138,25493782,Päiväkoti Veijari,Day care Veijari
daycare,24.706339,60.204384,6676880,25483715,Ymmerstan päiväkoti,
daycare,24.812529,60.223038,6678937,25489610,Rinkelin päiväkoti,
daycare,24.797554,60.19675,6676011,25488771,Laakakiven päiväkoti,Laakakiven päiväkoti
daycare,24.733164,60.16845,6672870,25485186,Päiväkoti Pikkula,
daycare,24.743063,60.284985,6685852,25485786,Taimitarhan päiväkoti,
daycare,24.956478,60.181152,6674257,25497585,Päiväkoti Kallio,Day care Kallio
daycare,25.0521,60.322086,6689959,25502879,Piilipuun päiväkoti,
daycare,24.950022,60.231495,6679866,25497231,Päiväkoti Majava,Day care Majava
daycare,24.899939,60.194252,6675720,25494449,Päiväkoti Pihlaja,Day care Pihlaja
daycare,24.706387,60.214813,6678042,25483723,Kielikylpy Grani,
daycare,24.622482,60.1641,6672416,25479039,Paapuurin päiväkoti,
daycare,24.943615,60.240055,6680820,25496877,Päiväkoti Pakilan Montessori-esikoulu,Day care Pakilan Montessori-esikoulu
daycare,24.733164,60.16845,6672870,25485186,Espoon Montessori leikkikoulu,
daycare,24.79301,60.16283,6672232,25488507,Westendinpuiston päiväkoti,Westendinpuiston päiväkoti
daycare,24.670128,60.20296,6676731,25481706,Suvelan päiväkoti,
daycare,24.967175,60.16682,6672659,25498178,Päiväkoti Katajanokka,Day care Katajanokka
daycare,24.78413,60.1839,6674581,25488021,Koivumankkaan päiväkoti,Koivumankkaan päiväkoti
daycare,24.918198,60.27933,6685197,25495474,Isonmännyn päiväkoti,
daycare,25.02214,60.331146,6690968,25501223,Päiväkoti Touhula-Ilola,
daycare,25.068438,60.259174,6682951,25503789,Päiväkoti Alppikylä,Day care Alppikylä
daycare,24.768576,60.246964,6681611,25487183,Jupperin päiväkoti,
daycare,24.922596,60.201115,6676482,25495707,Päiväkoti Hertta,Day care Hertta
daycare,24.72755,60.186794,6674915,25484883,Touhula Tikasmäki,
daycare,24.732727,60.16825,6672848,25485162,Pilke kielikylpypäiväkoti Merituuli,
daycare,24.98185,60.212322,6677729,25498994,Päiväkoti Aalto,Day care Aalto
daycare,24.889515,60.15205,6671019,25493863,Päiväkoti Lunni,Day care Lunni
daycare,24.91958,60.171795,6673216,25495536,Päiväkoti Finnish American Kindergarten Töölö,Day care Finnish American Kindergarten Töölö
daycare,25.032528,60.29821,6687298,25501799,Lummepolun päiväkoti,
daycare,24.786657,60.212532,6677771,25488172,Degerbyntien päiväkoti,
daycare,24.616106,60.164032,6672410,25478685,Saunalahden päiväkoti,
daycare,24.634886,60.154057,6671293,25479721,Satupuu päiväkoti,
daycare,24.816605,60.272213,6684415,25489851,Varistonniityn päiväkoti,
daycare,24.883335,60.158215,6671706,25493521,Päiväkoti Sälen,Day care Sälen
daycare,25.083076,60.23881,6680683,25504602,Päiväkoti Pihapirtti,Day care Pihapirtti
daycare,24.801819,60.264027,6683506,25489030,Pähkinärinteen päiväkoti,
daycare,25.119608,60.20277,6676670,25506633,Päiväkoti Merirasti,Day care Merirasti
daycare,24.725672,60.16911,6672946,25484771,"Honey Monsters, englanninkielinen kielikylpy",
daycare,24.598473,60.19323,6675669,25477726,Kylätalo Palttinan päiväkoti,
daycare,24.799524,60.179707,6674112,25488874,Silkkiniityn päiväkoti,Silkkiniityn päiväkoti
daycare,25.009928,60.25291,6682251,25500550,Päiväkoti Puimuri,Day care Puimuri
daycare,24.962626,60.269043,6684049,25497931,Tammistonrannan päiväkoti,
daycare,24.787012,60.15851,6671752,25488172,Espoon kielikylpypäiväkoti,Espoon kielikylpypäiväkoti
daycare,24.895203,60.200016,6676362,25494188,Päiväkoti Pensseli,Day care Pensseli
daycare,24.944923,60.198128,6676148,25496945,Päiväkoti Lehdokki,Day care Lehdokki
daycare,25.103056,60.2775,6684995,25505702,Kimokujan päiväkoti,
daycare,24.822342,60.213642,6677889,25490151,Everstinkadun päiväkoti,
daycare,24.770533,60.212612,6677783,25487278,Kallionkujan päiväkoti,
daycare,24.94187,60.1613,6672045,25496772,Päiväkoti Engel,Day care Engel
daycare,24.85658,60.272038,6684390,25492063,Louhelan päiväkoti,
